,10,20,30,40,50,60,70,80,90,100
10,0.1365,0.607343,0.71219545,0.64675,0.7172744,0.6683061,0.8094334,0.78396015,0.75829065,0.7325819
20,0.607343,0.215,0.5556115,0.529,0.6544901,0.6161978,0.7870138,0.764343,0.74086365,0.71734976
30,0.71219545,0.5556115,0.29357065,0.33275,0.5498496,0.5287645,0.7496478,0.73164775,0.71181865,0.6907571
40,0.64675,0.529,0.33275,0.058,0.402929,0.40686656,0.6973354,0.68598744,0.67115565,0.6541604
50,0.7172744,0.6544901,0.5498496,0.402929,0.215,0.2496813,0.6300766,0.62702295,0.61887465,0.60746075
60,0.6683061,0.6161978,0.5287645,0.40686656,0.2496813,0.0578116,0.5478714,0.55515934,0.5551671115,0.5495984
70,0.8094334,0.7870138,0.7496478,0.6973354,0.6300766,0.5478714,0.4507198,0.47008575,0.4800945,0.4816331
80,0.78396015,0.764343,0.73164775,0.68598744,0.62702295,0.55515934,0.47008575,0.372,0.3929595,0.4032116
90,0.75829065,0.74086365,0.71181865,0.67115565,0.61887465,0.5551671115,0.4800945,0.3929595,0.29357065,0.3143339
100,0.7325819,0.71734976,0.6907571,0.6541604,0.60746075,0.5495984,0.4816331,0.4032116,0.3143339,0.215
